eGRID2007 Version 1.1 State File (Year 2005 Data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This state-level file has 51 records and 109 data elements.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eGRID2007 2005 file State sequence number,State abbreviation,FIPS State code,State nameplate capacity (MW),State annual heat input (MMBtu),State ozone season heat input (MMBtu),State annual net generation (MWh),State ozone season net generation (MWh),State annual NOx emissions (tons),State ozone season NOx emissions (tons),State annual SO2 emissions (tons),State annual CO2 emissions (tons),State annual CH4 emissions (lbs),State annual N2O emissions (lbs),State annual Hg emissions (lbs),State annual NOx output emission rate (lb/MWh),State ozone season NOx output emission rate (lb/MWh),State annual SO2 output emission rate (lb/MWh),State annual CO2 output emission rate (lb/MWh),State annual CH4 output emission rate (lb/GWh),State annual N2O output emission rate (lb/GWh),State annual Hg output emission rate (lb/GWh),State annual NOx input emission rate (lb/MMBtu),State ozone season NOx input emission rate (lb/MMBtu),State annual SO2 input emission rate (lb/MMBtu),State annual CO2 input emission rate (lb/MMBtu),State annual Hg input emission rate (lb/BBtu),State annual NOx combustion output emission rate (lb/MWh),State ozone season NOx combustion output emission rate (lb/MWh),State annual SO2 combustion output emission rate (lb/MWh),State annual CO2 combustion output emission rate (lb/MWh),State annual CH4 combustion output emission rate (lb/GWh),State annual N2O combustion output emission rate (lb/GWh),State annual Hg combustion output emission rate (lb/GWh),State coal annual NOx output emission rate (lb/MWh),State oil annual NOx output emission rate (lb/MWh),State gas annual NOx output emission rate (lb/MWh),State fossil fuel annual NOx output emission rate (lb/MWh),State coal ozone season NOx output emission rate (lb/MWh),State oil ozone season NOx output emission rate (lb/MWh),State gas ozone season NOx output emission rate (lb/MWh),State fossil fuel ozone season NOx output emission rate (lb/MWh),State coal annual SO2 output emission rate (lb/MWh),State oil annual SO2 output emission rate (lb/MWh),State gas annual SO2 output emission rate (lb/MWh),State fossil fuel annual SO2 output emission rate (lb/MWh),State coal annual CO2 output emission rate (lb/MWh),State oil annual CO2 output emission rate (lb/MWh),State gas annual CO2 output emission rate (lb/MWh),State fossil fuel annual CO2 output emission rate (lb/MWh),State coal annual Hg output emission rate (lb/GWh),State fossil fuel annual Hg output emission rate (lb/GWh),State coal annual NOx input emission rate (lb/MMBtu),State oil annual NOx input emission rate (lb/MMBtu),State gas annual NOx input emission rate (lb/MMBtu),State fossil fuel annual NOx input emission rate (lb/MMBtu),State coal ozone season NOx input emission rate (lb/MMBtu),State oil ozone season NOx input emission rate (lb/MMBtu),State gas ozone season NOx input emission rate (lb/MMBtu),State fossil fuel ozone season NOx input emission rate (lb/MMBtu),State coal annual SO2 input emission rate (lb/MMBtu),State oil annual SO2 input emission rate (lb/MMBtu),State gas annual SO2 input emission rate (lb/MMBtu),State fossil fuel annual SO2 input emission rate (lb/MMBtu),State coal annual CO2 input emission rate (lb/MMBtu),State oil annual CO2 input emission rate (lb/MMBtu),State gas annual CO2 input emission rate (lb/MMBtu),State fossil fuel annual CO2 input emission rate (lb/MMBtu),State coal annual Hg input emission rate (lb/BBtu),State fossil fuel annual Hg input emission rate (lb/BBtu),State annual non-baseload NOx output emission rate (lb/MWh),State ozone season non-baseload NOx output emission rate (lb/MWh),State annual non-baseload SO2 output emission rate (lb/MWh) ,State annual non-baseload CO2 output emission rate (lb/MWh) ,State annual non-baseload CH4 output emission rate (lb/GWh),State annual non-baseload N2O output emission rate (lb/GWh),State annual non-baseload Hg output emission rate (lb/GWh) ,State annual coal net generation (MWh),State annual oil net generation (MWh),State annual gas net generation (MWh),State annual nuclear net generation (MWh),State annual hydro net generation (MWh),State annual biomass net generation (MWh),State annual wind net generation (MWh),State annual solar net generation (MWh),State annual geothermal net generation (MWh),State annual other fossil net generation (MWh),State annual other unknown/ purchased fuel net generation (MWh),State annual total nonrenewables net generation (MWh),State annual total renewables net generation (MWh),State annual total nonhydro renewables net generation (MWh),State annual total combustion net generation (MWh),State annual total noncombustion net generation (MWh),State coal generation percent (resource mix),State oil generation percent (resource mix),State gas generation percent (resource mix),State nuclear generation percent (resource mix),State hydro generation percent (resource mix),State biomass generation percent (resource mix),State wind generation percent (resource mix),State solar generation percent (resource mix),State geothermal generation percent (resource mix),State other fossil  generation percent (resource mix),State other unknown/ purchased fuel generation percent (resource mix),State total nonrenewables generation percent (resource mix),State total renewables generation percent (resource mix),State total nonhydro renewables generation percent (resource mix),State total combustion generation percent (resource mix),State total noncombustion generation percent (resource mix),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEQST05,PSTATABB,FIPSST,NAMEPCAP,STHTIAN,STHTIOZ,STNGENAN,STNGENOZ,STNOXAN,STNOXOZ,STSO2AN,STCO2AN,STCH4AN,STN2OAN,STHGAN,STNOXRTA,STNOXRTO,STSO2RTA,STCO2RTA,STCH4RTA,STN2ORTA,STHGRTA,STNOXRA,STNOXRO,STSO2RA,STCO2RA,STHGRA,STNOXCRT,STNOXCRO,STSO2CRT,STCO2CRT,STCH4CRT,STN2OCRT,STHGCRT,STCNOXRT,STONOXRT,STGNOXRT,STFSNXRT,STCNXORT,STONXORT,STGNXORT,STFSNORT,STCSO2RT,STOSO2RT,STGSO2RT,STFSS2RT,STCCO2RT,STOCO2RT,STGCO2RT,STFSC2RT,STCHGRT,STFSHGRT,STCNOXR,STONOXR,STGNOXR,STFSNXR,STCNXOR,STONXOR,STGNXOR,STFSNOR,STCSO2R,STOSO2R,STGSO2R,STFSS2R,STCCO2R,STOCO2R,STGCO2R,STFSC2R,STCHGR,STFSHGR,STNBNOX,STNBNXO,STNBSO2,STNBCO2,STNBCH4,STNBN2O,STNBHG,STGENACL,STGENAOL,STGENAGS,STGENANC,STGENAHY,STGENABM,STGENAWI,STGENASO,STGENAGT,STGENAOF,STGENAOP,STGENATN,STGENATR,STGENATH,STGENACY,STGENACN,STCLPR,STOLPR,STGSPR,STNCPR,STHYPR,STBMPR,STWIPR,STSOPR,STGTPR,STOFPR,STOPPR,STTNPR,STTRPR,STTHPR,STCYPR,STCNPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AK,02,"2,009.5","53,811,571.9","21,942,460.7","6,576,653.1","2,623,744.3","10,908.68","4,473.51","3,551.84","3,583,598.7","162,166.8","39,690.3",11.01,3.3174,3.4100,1.0801,"1,089.79",24.66,6.04,0.0017,0.4054,0.4077,0.1320,133.19,0.0002,4.2678,4.3869,1.3896,"1,402.00",31.72,7.76,0.0022,5.3261,12.9804,2.2731,4.2551,5.0992,13.6334,2.5248,4.4607,3.2912,6.3433,0.0379,1.3854,"1,854.54","1,646.52","1,268.61","1,397.83",0.0173,0.0021,0.6068,1.2705,0.2096,0.4054,0.6062,1.3140,0.2197,0.4077,0.3749,0.6209,0.0035,0.1320,211.28,161.16,116.97,133.19,0.0020,0.0002,6.0502,5.7625,2.5395,"1,470.56",40.63,8.87,0.0000,"623,129.7","760,114.6","3,723,625.1",0.0,"1,463,940.8","5,254.0",588.9,0.0,0.0,0.0,0.0,"5,106,869.4","1,469,783.7","5,842.9","5,112,123.4","1,464,529.7",9.4749,11.5578,56.6188,0.0000,22.2597,0.0799,0.0090,0.0000,0.0000,0.0000,0.0000,77.6515,22.3485,0.0888,77.7314,22.2686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AL,01,"33,206.2","983,219,196.7","445,960,127.6","137,325,018.7","61,744,352.3","138,269.28","47,105.68","466,164.70","92,043,923.1","3,447,073.9","3,169,994.4","5,460.44",2.0138,1.5258,6.7892,"1,340.53",25.10,23.08,0.0398,0.2813,0.2113,0.9482,187.23,0.0056,2.8961,2.1944,9.7640,"1,927.90",36.10,33.20,0.0572,3.2544,25.3367,0.2195,2.9170,2.4992,25.3357,0.1992,2.1429,11.2982,1.9509,0.0122,10.0049,"2,129.69","1,675.95",955.30,"1,999.16",0.0673,0.0596,0.3098,2.4380,0.0273,0.2844,0.2367,2.4380,0.0256,0.2111,1.0756,0.1877,0.0015,0.9755,202.76,161.27,119.01,194.93,0.0064,0.0058,2.7116,2.0024,9.7110,"1,723.00",41.29,28.23,0.0389,"78,070,315.5","199,465.8","13,864,459.2","31,694,223.0","10,144,580.4","3,220,285.7",0.0,0.0,0.0,"119,297.3","12,391.9","123,960,152.6","13,364,866.1","3,220,285.7","95,486,215.3","41,838,803.4",56.8508,0.1453,10.0961,23.0797,7.3873,2.3450,0.0000,0.0000,0.0000,0.0869,0.0090,90.2677,9.7323,2.3450,69.5330,30.4670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,AR,05,"14,609.1","333,208,769.9","157,404,555.3","47,794,506.6","22,605,881.5","38,011.21","16,918.57","71,132.21","29,375,197.8","1,528,239.0","1,065,991.2","1,017.11",1.5906,1.4968,2.9766,"1,229.23",31.98,22.30,0.0213,0.2282,0.2150,0.4270,176.32,0.0031,2.4522,2.3076,4.5889,"1,895.07",49.30,34.38,0.0328,2.9657,27.5972,0.4364,2.4440,3.0640,27.5963,0.4452,2.3109,5.7013,2.0952,0.2373,4.5730,"2,272.37","1,825.47","1,020.15","2,013.80",0.0443,0.0351,0.2678,2.4380,0.0512,0.2317,0.2708,2.4380,0.0493,0.2169,0.5148,0.1851,0.0278,0.4335,205.17,161.27,119.69,190.91,0.0040,0.0033,1.8165,1.5283,3.2639,"1,572.16",45.70,24.18,0.0215,"23,037,139.3","206,674.4","6,007,923.5","13,689,571.0","3,103,217.7","1,734,688.8",0.0,0.0,0.0,"15,291.9",0.0,"42,956,600.0","4,837,906.5","1,734,688.8","31,001,717.9","16,792,788.7",48.2004,0.4324,12.5703,28.6426,6.4928,3.6295,0.0000,0.0000,0.0000,0.0320,0.0000,89.8777,10.1223,3.6295,64.8646,35.1354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,AZ,04,"28,727.3","664,635,053.8","316,490,912.6","101,465,934.9","47,744,674.2","81,977.08","36,631.70","53,238.17","58,778,193.0","1,576,157.9","1,616,641.9","1,499.87",1.6159,1.5345,1.0494,"1,158.58",15.53,15.93,0.0148,0.2467,0.2315,0.1602,176.87,0.0023,2.3713,2.2519,1.5400,"1,700.26",22.80,23.38,0.0217,3.8701,1.6175,0.2104,2.3701,3.8633,1.8532,0.1993,2.1873,2.6124,0.0515,0.0048,1.5403,"2,271.30","1,491.49",878.45,"1,700.71",0.0369,0.0217,0.3479,0.1290,0.0285,0.2467,0.3470,0.1456,0.0269,0.2315,0.2348,0.0041,0.0007,0.1603,204.18,118.92,118.80,177.00,0.0033,0.0023,0.9335,0.7728,0.8275,"1,175.38",20.04,9.39,0.0095,"40,143,310.0","43,207.6","28,893,266.3","25,807,446.0","6,504,710.7","60,413.4",0.0,"13,581.0",0.0,0.0,0.0,"94,887,229.9","6,578,705.0","73,994.3","69,140,197.3","32,325,737.6",39.5633,0.0426,28.4758,25.4346,6.4107,0.0595,0.0000,0.0134,0.0000,0.0000,0.0000,93.5163,6.4837,0.0729,68.1413,31.8587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,CA,06,"66,022.8","923,806,989.7","427,533,725.4","199,924,749.7","94,616,851.7","22,302.45","10,460.26","13,576.65","53,985,904.8","6,117,976.5","899,178.9",396.02,0.2231,0.2211,0.1358,540.06,30.60,4.50,0.0020,0.0483,0.0489,0.0294,116.88,0.0004,0.4200,0.4162,0.2557,"1,016.69",57.61,8.47,0.0037,0.9806,1.4825,0.3033,0.3504,0.9443,1.5147,0.3180,0.3609,3.0269,7.1744,0.0184,0.2417,"2,314.31","2,261.27",979.51,"1,038.67",0.0025,0.0001,0.0883,0.1353,0.0367,0.0417,0.0879,0.1416,0.0388,0.0434,0.2725,0.6547,0.0022,0.0288,208.35,206.35,118.47,123.65,0.0002,0.0000,0.2817,0.2918,0.0540,"1,061.13",39.98,4.90,0.0020,"1,965,787.5","2,576,183.8","93,376,233.5","36,154,898.0","39,751,649.6","5,814,174.8","4,259,490.6","536,713.3","13,022,636.4","2,259,976.3","207,005.9","136,540,084.9","63,384,664.8","23,633,015.1","106,199,361.7","93,725,388.0",0.9833,1.2886,46.7057,18.0843,19.8833,2.9082,2.1305,0.2685,6.5138,1.1304,0.1035,68.2957,31.7043,11.8210,53.1197,46.8803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,CO,08,"12,454.8","500,779,732.5","215,472,102.2","49,632,185.6","21,420,351.0","72,523.23","31,180.47","62,897.66","47,420,655.1","1,165,299.6","1,452,396.6",813.62,2.9224,2.9113,2.5346,"1,910.88",23.48,29.26,0.0164,0.2896,0.2894,0.2512,189.39,0.0016,3.0496,3.0380,2.6448,"1,994.03",24.50,30.54,0.0171,3.9486,36.8046,0.3351,3.0503,3.9611,53.8121,0.3670,3.0441,3.5217,5.5953,0.0070,2.6457,"2,358.23","4,921.46",899.16,"1,994.71",0.0228,0.0171,0.3432,1.2058,0.0443,0.2898,0.3447,1.2154,0.0479,0.2896,0.3061,0.1833,0.0009,0.2513,204.97,161.23,118.74,189.50,0.0020,0.0016,1.9884,2.0014,2.0125,"1,606.13",22.10,20.35,0.0116,"35,570,134.7","17,045.8","11,941,213.3",0.0,"1,293,231.5","34,326.5","776,233.9",0.0,0.0,0.0,0.0,"47,528,393.8","2,103,791.8","810,560.4","47,562,720.3","2,069,465.3",71.6675,0.0343,24.0594,0.0000,2.6056,0.0692,1.5640,0.0000,0.0000,0.0000,0.0000,95.7612,4.2388,1.6331,95.8304,4.1696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,CT,09,"8,695.9","173,012,853.1","77,965,698.1","33,549,743.9","14,649,564.5","10,086.99","4,293.69","9,165.89","13,485,688.6","2,274,325.3","457,295.8",530.47,0.6013,0.5862,0.5464,803.92,67.79,13.63,0.0158,0.1166,0.1101,0.1060,155.89,0.0031,1.1521,1.1231,1.0469,"1,540.25",129.88,26.11,0.0303,1.2431,2.2286,0.1196,0.8334,1.1568,2.2416,0.1111,0.7651,1.9790,3.0189,0.0072,1.1322,"2,277.12","1,845.42",886.83,"1,437.37",0.0587,0.0147,0.1119,0.1933,0.0161,0.0901,0.1052,0.1951,0.0149,0.0840,0.1782,0.2618,0.0010,0.1223,205.03,160.06,119.03,155.32,0.0053,0.0016,1.1524,1.6444,1.3674,"1,478.77",77.68,17.37,0.0112,"3,996,491.6","3,156,046.8","8,865,252.2","15,562,122.0","476,545.3","710,947.3",0.0,0.0,0.0,"771,983.0","10,355.7","32,362,251.3","1,187,492.6","710,947.3","17,511,076.6","16,038,667.3",11.9121,9.4071,26.4242,46.3852,1.4204,2.1191,0.0000,0.0000,0.0000,2.3010,0.0309,96.4605,3.5395,2.1191,52.1944,47.8056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,DC,11,868.0,"3,400,504.9","2,992,078.5","226,042.0","211,467.0",412.95,364.40,914.34,"274,901.1","23,728.7","4,745.7",N/A,3.6538,3.4464,8.0900,"2,432.30",104.97,21.00,N/A,0.2429,0.2436,0.5378,161.68,N/A,3.6538,3.4464,8.0900,"2,432.30",104.97,21.00,N/A,N/A,3.6538,N/A,3.6538,N/A,3.4464,N/A,3.4464,N/A,8.0900,N/A,8.0900,N/A,"2,432.30",N/A,"2,432.30",N/A,N/A,N/A,0.2429,N/A,0.2429,N/A,0.2436,N/A,0.2436,N/A,0.5378,N/A,0.5378,N/A,161.68,N/A,161.68,N/A,N/A,3.6538,3.4464,8.0900,"2,432.30",104.97,21.00,N/A,0.0,"226,042.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"226,042.0",0.0,0.0,"226,042.0",0.0,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,100.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,DE,10,"3,517.5","95,392,283.9","47,056,158.2","8,136,567.1","3,954,195.9","13,546.31","6,143.41","32,534.86","8,209,955.0","296,927.1","215,766.6",323.84,3.3297,3.1073,7.9972,"2,018.04",36.49,26.52,0.0398,0.2840,0.2611,0.6821,172.13,0.0034,3.3297,3.1073,7.9972,"2,018.04",36.49,26.52,0.0398,3.8785,4.5380,1.0838,3.3297,3.7353,5.2933,0.9958,3.1073,11.3996,10.2671,0.0518,7.9972,"2,190.40","1,919.41",984.35,"2,018.04",0.0585,0.0398,0.3539,0.3849,0.1329,0.2840,0.3335,0.3470,0.1191,0.2611,1.0402,0.8709,0.0064,0.6821,199.88,162.81,120.69,172.13,0.0053,0.0034,3.1048,2.8377,6.8327,"1,947.85",39.23,23.37,0.0324,"4,832,947.6","1,216,422.5","1,590,760.5",0.0,0.0,0.0,0.0,0.0,0.0,"496,436.4",0.0,"8,136,567.1",0.0,0.0,"8,136,567.1",0.0,59.3979,14.9501,19.5508,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.1013,0.0000,100.0000,0.0000,0.0000,100.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,FL,12,"62,446.5","1,788,571,545.7","855,674,056.0","219,845,864.3","105,794,641.9","232,374.96","111,431.69","427,367.29","147,356,227.6","10,052,442.6","3,886,101.1","2,283.09",2.1140,2.1066,3.8879,"1,340.54",45.73,17.68,0.0104,0.2598,0.2605,0.4779,164.78,0.0013,2.4355,2.4270,4.4793,"1,544.45",52.68,20.37,0.0120,3.8231,2.4315,0.5016,2.2153,3.8411,2.5329,0.5271,2.1932,6.5904,6.6179,0.5161,4.2372,"1,953.07","1,348.27",959.50,"1,429.10",0.0221,0.0085,0.3974,0.3016,0.0645,0.2591,0.3988,0.3292,0.0678,0.2604,0.6851,0.8209,0.0663,0.4956,203.04,167.24,123.30,167.14,0.0023,0.0010,1.9372,1.8991,3.7937,"1,382.92",47.46,14.04,0.0057,"62,502,865.9","37,210,372.5","83,657,065.9","28,758,826.0","266,158.9","4,331,132.8",0.0,0.0,0.0,"1,373,746.5","1,745,695.8","215,248,572.6","4,597,291.6","4,331,132.8","190,820,879.4","29,024,984.9",28.4303,16.9257,38.0526,13.0814,0.1211,1.9701,0.0000,0.0000,0.0000,0.6249,0.7941,97.9089,2.0911,1.9701,86.7976,13.2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,GA,13,"39,737.9","990,630,472.6","468,044,906.9","136,617,442.0","65,118,987.8","118,496.71","38,039.96","646,010.65","95,805,693.5","3,007,898.5","3,269,108.9","3,740.08",1.7347,1.1683,9.4572,"1,402.54",22.02,23.93,0.0274,0.2392,0.1625,1.3042,193.42,0.0038,2.3404,1.5762,12.7591,"1,892.22",29.70,32.28,0.0369,2.5462,5.9459,0.1742,2.3468,1.7077,6.3112,0.1186,1.5230,14.1364,48.5864,0.0074,13.0560,"2,051.86","1,765.43",969.00,"1,946.96",0.0427,0.0383,0.2544,0.6937,0.0214,0.2389,0.1706,0.7207,0.0187,0.1602,1.4122,5.6686,0.0009,1.3292,204.98,205.97,119.00,198.22,0.0043,0.0039,2.3185,1.6641,10.9000,"1,654.63",33.18,24.93,0.0223,"87,235,508.7","1,006,253.4","9,773,531.2","31,534,259.0","3,820,289.9","3,196,376.3",0.0,0.0,0.0,"51,223.5",0.0,"129,600,775.8","7,016,666.2","3,196,376.3","101,262,893.1","35,354,548.9",63.8539,0.7365,7.1539,23.0822,2.7963,2.3397,0.0000,0.0000,0.0000,0.0375,0.0000,94.8640,5.1360,2.3397,74.1215,25.8785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,HI,15,"2,592.7","123,159,469.2","55,662,349.5","11,522,803.2","4,994,229.9","22,355.13","10,042.06","24,009.52","9,973,066.3","1,905,878.4","345,203.5",133.29,3.8802,4.0215,4.1673,"1,731.01",165.40,29.96,0.0116,0.3630,0.3608,0.3899,161.95,0.0011,3.9926,4.1380,4.2880,"1,781.16",170.19,30.83,0.0119,0.8936,4.3600,N/A,3.8203,0.8880,4.4094,N/A,3.8919,0.7708,5.0595,N/A,4.3801,"1,896.64","1,758.63",N/A,"1,775.13",0.0106,0.0016,0.1000,0.4193,N/A,0.3760,0.1000,0.4170,N/A,0.3773,0.0863,0.4865,N/A,0.4311,212.26,169.11,N/A,174.70,0.0012,0.0002,5.3284,5.8244,4.2579,"1,800.75",185.69,29.99,0.0124,"1,631,249.8","9,076,425.2",0.0,0.0,"96,187.6","301,112.6","6,632.0",0.0,"221,597.0","189,599.1",0.0,"10,897,274.0","625,529.2","529,341.6","11,198,386.6","324,416.6",14.1567,78.7692,0.0000,0.0000,0.8348,2.6132,0.0576,0.0000,1.9231,1.6454,0.0000,94.5714,5.4286,4.5939,97.1846,2.8154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
